"Real wind","lastSailRotation","lastRudderRotation","speed","Ship direction","acceleration","friction","sailForcing","mass","time","ropeLenght","Apparent wind","velaOverShip","windOverVela","rudderRotation"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.02147358","1.5","(100.0, 0.0, 0.0)","0.9553365","1.0","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.025356095","1.5","(100.0, 0.0, 0.0)","0.9671434","0.9990779","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.027776856","1.5","(100.0, 0.0, 0.0)","0.96908647","0.9987148","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.032880377","1.5","(100.0, 0.0, 0.0)","0.97026825","0.998458","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.03556271","1.5","(100.0, 0.0, 0.0)","0.9726844","0.99784046","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","1.0","1.0","0.038574208","1.5","(100.0, 0.0, 0.0)","0.9739131","0.99747455","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.2847179","(1.0, 0.0, 0.0)","97.145325","0.0","1.0","1.0","0.041505054","1.5","(100.0, 0.0, 0.0)","0.9739127","0.9974747","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.59979546","(1.0, 0.0, 0.0)","96.86871","0.0010133034","1.0","1.0","0.044757713","1.5","(99.71528, 0.0, 0.0)","0.97391236","0.9974748","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.99590755","(1.0, 0.0, 0.0)","96.56261","0.0044969325","1.0","1.0","0.048860032","1.5","(99.40021, 0.0, 0.0)","0.97391194","0.9974749","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.3378203","(1.0, 0.0, 0.0)","96.17776","0.012397898","1.0","1.0","0.052415498","1.5","(99.00409, 0.0, 0.0)","0.9739114","0.9974751","0.0"
