"Real wind","lastSailRotation","lastRudderRotation","speed","Ship direction","acceleration","friction","sailForcing","mass","time","ropeLenght","Apparent wind","velaOverShip","windOverVela","rudderRotation"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.0223603","1.5","(100.0, 0.0, 0.0)","0.9553365","1.0","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.026409306","1.5","(100.0, 0.0, 0.0)","0.96759284","0.9990002","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.029267348","1.5","(100.0, 0.0, 0.0)","0.96960396","0.99860585","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.03181034","1.5","(100.0, 0.0, 0.0)","0.97098476","0.9982883","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.034110017","1.5","(100.0, 0.0, 0.0)","0.9721865","0.99797845","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.036319576","1.5","(100.0, 0.0, 0.0)","0.97325116","0.99767625","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","1.0","1.0","0.03855903","1.5","(100.0, 0.0, 0.0)","0.9742547","0.99736613","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.26032922","(1.0, 0.0, 0.0)","97.16874","0.0","1.0","1.0","0.041238178","1.5","(100.0, 0.0, 0.0)","0.9742529","0.9973667","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.54715925","(1.0, 0.0, 0.0)","96.91563","8.4714126E-4","1.0","1.0","0.04419779","1.5","(99.73967, 0.0, 0.0)","0.9742507","0.99736744","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.89198875","(1.0, 0.0, 0.0)","96.63676","0.0037422907","1.0","1.0","0.047766235","1.5","(99.45284, 0.0, 0.0)","0.97424823","0.9973682","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.1820705","(1.0, 0.0, 0.0)","96.301506","0.009945549","1.0","1.0","0.05077877","1.5","(99.10801, 0.0, 0.0)","0.9742455","0.9973691","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.4688618","(1.0, 0.0, 0.0)","96.01948","0.017466133","1.0","1.0","0.053766116","1.5","(98.81793, 0.0, 0.0)","0.97424304","0.9973699","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.7660469","(1.0, 0.0, 0.0)","95.74064","0.026969438","1.0","1.0","0.056871057","1.5","(98.531136, 0.0, 0.0)","0.97424066","0.99737066","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.0557861","(1.0, 0.0, 0.0)","95.451706","0.03898652","1.0","1.0","0.05990775","1.5","(98.233955, 0.0, 0.0)","0.9742382","0.99737144","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.3536334","(1.0, 0.0, 0.0)","95.17003","0.05282821","1.0","1.0","0.06303912","1.5","(97.944214, 0.0, 0.0)","0.974236","0.99737215","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.6553535","(1.0, 0.0, 0.0)","94.88045","0.06924488","1.0","1.0","0.066221446","1.5","(97.64637, 0.0, 0.0)","0.9742334","0.997373","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.9503748","(1.0, 0.0, 0.0)","94.58711","0.08813628","1.0","1.0","0.069343396","1.5","(97.34465, 0.0, 0.0)","0.974231","0.99737376","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.2362056","(1.0, 0.0, 0.0)","94.30028","0.1088089","1.0","1.0","0.072377965","1.5","(97.04962, 0.0, 0.0)","0.9742286","0.9973745","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.5116405","(1.0, 0.0, 0.0)","94.0224","0.13091283","1.0","1.0","0.07531151","1.5","(96.763794, 0.0, 0.0)","0.97422636","0.99737525","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.792389","(1.0, 0.0, 0.0)","93.75462","0.15414524","1.0","1.0","0.078310944","1.5","(96.48836, 0.0, 0.0)","0.97422415","0.99737597","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.083724","(1.0, 0.0, 0.0)","93.48168","0.17977767","1.0","1.0","0.081433445","1.5","(96.20761, 0.0, 0.0)","0.9742219","0.9973766","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.373071","(1.0, 0.0, 0.0)","93.19845","0.20846002","1.0","1.0","0.08454504","1.5","(95.916275, 0.0, 0.0)","0.9742195","0.99737746","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.666388","(1.0, 0.0, 0.0)","92.91715","0.2390469","1.0","1.0","0.08770994","1.5","(95.62693, 0.0, 0.0)","0.97421724","0.9973782","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","4.942904","(1.0, 0.0, 0.0)","92.631996","0.2721897","1.0","1.0","0.09070384","1.5","(95.33361, 0.0, 0.0)","0.97421503","0.9973788","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","5.214796","(1.0, 0.0, 0.0)","92.363174","0.30540377","1.0","1.0","0.09365733","1.5","(95.0571, 0.0, 0.0)","0.9742128","0.99737954","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","5.485461","(1.0, 0.0, 0.0)","92.09884","0.3399262","1.0","1.0","0.096607074","1.5","(94.7852, 0.0, 0.0)","0.97421056","0.9973803","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","5.770235","(1.0, 0.0, 0.0)","91.835724","0.37612855","1.0","1.0","0.09972073","1.5","(94.51454, 0.0, 0.0)","0.97420853","0.997381","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.0478363","(1.0, 0.0, 0.0)","91.55887","0.41619515","1.0","1.0","0.102766514","1.5","(94.22977, 0.0, 0.0)","0.97420627","0.9973816","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.3458123","(1.0, 0.0, 0.0)","91.288994","0.45720404","1.0","1.0","0.10604704","1.5","(93.95216, 0.0, 0.0)","0.97420406","0.99738234","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.613998","(1.0, 0.0, 0.0)","90.999306","0.50336665","1.0","1.0","0.10901055","1.5","(93.65419, 0.0, 0.0)","0.9742016","0.9973832","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","6.8805075","(1.0, 0.0, 0.0)","90.738594","0.5468121","1.0","1.0","0.11196547","1.5","(93.386, 0.0, 0.0)","0.9741996","0.9973838","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.133457","(1.0, 0.0, 0.0)","90.479515","0.5917673","1.0","1.0","0.11477953","1.5","(93.11949, 0.0, 0.0)","0.97419757","0.9973845","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.373549","(1.0, 0.0, 0.0)","90.2336","0.63607764","1.0","1.0","0.1174592","1.5","(92.86655, 0.0, 0.0)","0.9741955","0.99738514","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.6250443","(1.0, 0.0, 0.0)","90.000206","0.6796153","1.0","1.0","0.12027485","1.5","(92.62645, 0.0, 0.0)","0.9741938","0.9973857","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","7.877951","(1.0, 0.0, 0.0)","89.755714","0.7267662","1.0","1.0","0.12311557","1.5","(92.374954, 0.0, 0.0)","0.9741918","0.99738634","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.1178665","(1.0, 0.0, 0.0)","89.50986","0.77577645","1.0","1.0","0.12581933","1.5","(92.12205, 0.0, 0.0)","0.97418994","0.9973869","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.355415","(1.0, 0.0, 0.0)","89.27663","0.823747","1.0","1.0","0.12850492","1.5","(91.88213, 0.0, 0.0)","0.974188","0.99738747","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.6016245","(1.0, 0.0, 0.0)","89.0457","0.87266207","1.0","1.0","0.13129726","1.5","(91.644585, 0.0, 0.0)","0.9741862","0.9973881","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","8.848493","(1.0, 0.0, 0.0)","88.80636","0.92484933","1.0","1.0","0.13410637","1.5","(91.39838, 0.0, 0.0)","0.97418433","0.9973887","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.085781","(1.0, 0.0, 0.0)","88.566376","0.9786978","1.0","1.0","0.13681552","1.5","(91.151505, 0.0, 0.0)","0.9741825","0.9973893","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.324915","(1.0, 0.0, 0.0)","88.33569","1.0318927","1.0","1.0","0.13955462","1.5","(90.914215, 0.0, 0.0)","0.9741806","0.99738985","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.572574","(1.0, 0.0, 0.0)","88.10323","1.0869255","1.0","1.0","0.14240074","1.5","(90.67509, 0.0, 0.0)","0.97417873","0.9973905","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","9.818238","(1.0, 0.0, 0.0)","87.86249","1.145427","1.0","1.0","0.14523368","1.5","(90.42743, 0.0, 0.0)","0.9741769","0.9973911","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.065021","(1.0, 0.0, 0.0)","87.62367","1.2049725","1.0","1.0","0.14808933","1.5","(90.18176, 0.0, 0.0)","0.97417504","0.9973917","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.34234","(1.0, 0.0, 0.0)","87.38378","1.2663081","1.0","1.0","0.15130958","1.5","(89.93498, 0.0, 0.0)","0.9741731","0.9973923","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.59252","(1.0, 0.0, 0.0)","87.1142","1.3370501","1.0","1.0","0.1542262","1.5","(89.65766, 0.0, 0.0)","0.9741711","0.99739295","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","10.842576","(1.0, 0.0, 0.0)","86.870995","1.4025185","1.0","1.0","0.15715192","1.5","(89.40748, 0.0, 0.0)","0.97416925","0.99739355","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.096824","(1.0, 0.0, 0.0)","86.62792","1.4695182","1.0","1.0","0.16013752","1.5","(89.157425, 0.0, 0.0)","0.97416735","0.99739414","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.3538065","(1.0, 0.0, 0.0)","86.38077","1.5392437","1.0","1.0","0.1631665","1.5","(88.903175, 0.0, 0.0)","0.9741655","0.9973947","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.599171","(1.0, 0.0, 0.0)","86.13096","1.6113615","1.0","1.0","0.16606954","1.5","(88.646194, 0.0, 0.0)","0.9741635","0.9973954","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","11.844215","(1.0, 0.0, 0.0)","85.892456","1.6817595","1.0","1.0","0.16897944","1.5","(88.40083, 0.0, 0.0)","0.97416174","0.99739593","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","12.09508","(1.0, 0.0, 0.0)","85.65425","1.7535679","1.0","1.0","0.17196946","1.5","(88.155785, 0.0, 0.0)","0.9741599","0.9973965","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","12.370809","(1.0, 0.0, 0.0)","85.41039","1.8286371","1.0","1.0","0.17526837","1.5","(87.90492, 0.0, 0.0)","0.97415805","0.9973971","0.0"
