"Real wind","lastSailRotation","lastRudderRotation","speed","Ship direction","acceleration","friction","sailForcing","mass","time","ropeLenght","Apparent wind","velaOverShip","windOverVela","rudderRotation"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.02335031","1.5","(100.0, 0.0, 0.0)","0.9553365","1.0","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.027185649","1.5","(100.0, 0.0, 0.0)","0.96809095","0.9989097","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.029682016","1.5","(100.0, 0.0, 0.0)","0.9699826","0.9985227","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.03211774","1.5","(100.0, 0.0, 0.0)","0.9711829","0.9982394","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.034776635","1.5","(100.0, 0.0, 0.0)","0.9723304","0.99793917","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.03726688","1.5","(100.0, 0.0, 0.0)","0.97355646","0.9975846","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","1.0","1.0","0.039676234","1.5","(100.0, 0.0, 0.0)","0.97467935","0.9972272","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.2518995","(1.0, 0.0, 0.0)","97.1974","0.0","1.0","1.0","0.042267863","1.5","(100.0, 0.0, 0.0)","0.97467536","0.9972285","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.5696739","(1.0, 0.0, 0.0)","96.95228","7.9316704E-4","1.0","1.0","0.045545526","1.5","(99.7481, 0.0, 0.0)","0.97467107","0.99722993","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.9229627","(1.0, 0.0, 0.0)","96.64307","0.004056604","1.0","1.0","0.049201284","1.5","(99.43033, 0.0, 0.0)","0.9746659","0.99723166","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.2490666","(1.0, 0.0, 0.0)","96.29927","0.010648252","1.0","1.0","0.052588016","1.5","(99.077034, 0.0, 0.0)","0.9746598","0.9972337","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.5750489","(1.0, 0.0, 0.0)","95.98195","0.019502092","1.0","1.0","0.055984996","1.5","(98.75093, 0.0, 0.0)","0.97465444","0.9972354","0.0"
