"Real wind","lastSailRotation","lastRudderRotation","speed","Ship direction","acceleration","friction","sailForcing","mass","time","ropeLenght","Apparent wind","velaOverShip","windOverVela","rudderRotation"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.023566948","1.5","(100.0, 0.0, 0.0)","0.9553365","1.0","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.028355319","1.5","(100.0, 0.0, 0.0)","0.96819943","0.9988894","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.031403355","1.5","(100.0, 0.0, 0.0)","0.9705482","0.998393","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.034246963","1.5","(100.0, 0.0, 0.0)","0.9719965","0.9980296","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.037286688","1.5","(100.0, 0.0, 0.0)","0.9733147","0.99765736","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","1.0","1.0","0.040273163","1.5","(100.0, 0.0, 0.0)","0.97468865","0.9972241","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.29665646","(1.0, 0.0, 0.0)","97.19797","0.0","1.0","1.0","0.04332525","1.5","(100.0, 0.0, 0.0)","0.97468364","0.99722576","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.632378","(1.0, 0.0, 0.0)","96.90929","0.0011000632","1.0","1.0","0.046789575","1.5","(99.70335, 0.0, 0.0)","0.97467864","0.99722743","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.0097513","(1.0, 0.0, 0.0)","96.58257","0.0049987743","1.0","1.0","0.05069704","1.5","(99.36762, 0.0, 0.0)","0.97467285","0.9972293","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.3194864","(1.0, 0.0, 0.0)","96.21536","0.0127449725","1.0","1.0","0.05391665","1.5","(98.99025, 0.0, 0.0)","0.9746664","0.9972315","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.6277125","(1.0, 0.0, 0.0)","95.91396","0.021763053","1.0","1.0","0.057130948","1.5","(98.68051, 0.0, 0.0)","0.97466123","0.9972332","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.9232956","(1.0, 0.0, 0.0)","95.61403","0.0331181","1.0","1.0","0.060223438","1.5","(98.372284, 0.0, 0.0)","0.97465605","0.99723494","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.2270272","(1.0, 0.0, 0.0)","95.3264","0.046238326","1.0","1.0","0.06341121","1.5","(98.076706, 0.0, 0.0)","0.974651","0.9972366","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.538953","(1.0, 0.0, 0.0)","95.03086","0.061995625","1.0","1.0","0.06669572","1.5","(97.77297, 0.0, 0.0)","0.974646","0.9972383","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","2.830976","(1.0, 0.0, 0.0)","94.72734","0.080578536","1.0","1.0","0.06978112","1.5","(97.461044, 0.0, 0.0)","0.9746408","0.99724","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.1152215","(1.0, 0.0, 0.0)","94.44318","0.10018031","1.0","1.0","0.07279401","1.5","(97.16902, 0.0, 0.0)","0.9746359","0.99724156","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","3.4063582","(1.0, 0.0, 0.0)","94.16661","0.12130757","1.0","1.0","0.07588972","1.5","(96.88478, 0.0, 0.0)","0.97463125","0.99724317","0.0"
