"Real wind","lastSailRotation","lastRudderRotation","speed","Ship direction","acceleration","friction","sailForcing","mass","time","ropeLenght","Apparent wind","velaOverShip","windOverVela","rudderRotation"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.025207872","1.5","(100.0, 0.0, 0.0)","0.9553365","1.0","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.02888645","1.5","(100.0, 0.0, 0.0)","0.9690151","0.9987294","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.031305887","1.5","(100.0, 0.0, 0.0)","0.970804","0.99833214","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.03360847","1.5","(100.0, 0.0, 0.0)","0.9719513","0.9980416","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","0.0","1.0","0.03608396","1.5","(100.0, 0.0, 0.0)","0.9730221","0.99774355","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.0","(1.0, 0.0, 0.0)","0.0","0.0","1.0","1.0","0.038556106","1.5","(100.0, 0.0, 0.0)","0.9741498","0.99739975","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.25588804","(1.0, 0.0, 0.0)","97.161575","0.0","1.0","1.0","0.04118974","1.5","(100.0, 0.0, 0.0)","0.97414833","0.9974002","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.52193135","(1.0, 0.0, 0.0)","96.91285","8.1848365E-4","1.0","1.0","0.043934945","1.5","(99.74411, 0.0, 0.0)","0.97414684","0.9974007","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","0.86613435","(1.0, 0.0, 0.0)","96.654236","0.0034051542","1.0","1.0","0.047496248","1.5","(99.478065, 0.0, 0.0)","0.9741451","0.99740124","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.1868556","(1.0, 0.0, 0.0)","96.31967","0.0093773585","1.0","1.0","0.05082633","1.5","(99.133865, 0.0, 0.0)","0.9741431","0.9974019","0.0"
"(100.0, 0.0, 0.0)","0.0","0.0","1.4932225","(1.0, 0.0, 0.0)","96.00791","0.017607827","1.0","1.0","0.054017972","1.5","(98.81314, 0.0, 0.0)","0.974141","0.99740255","0.0"
